sample_id,tau_peak_MPa_csds,tau_r_MPa,delta_peak_mm,u_r_mm,CSDS_a,CSDS_b,CSDS_c,CSDS_d,CSDS_e,tau_peak_estimated,u_r_estimated,tau_r_estimated
132,4.61,3.49275,0.38,2.2025,3.49275,-0.7897242687736488,2.2701475595913734,2.7030257312263513,,0,0,0
133,14.25,12.71,0.58,3.89,12.71,-9.283969018010207,1.2853470437017995,3.426030981989794,,0,0,0
134,0.81,0.6846666666666668,0.29,1.5933333333333335,0.6846666666666668,-0.3618239394580199,3.1380753138075312,0.3228427272086469,,0,0,0
135,4.74,4.255,0.42,2.1925,4.255,-2.9163837834751516,2.280501710376283,1.3386162165248483,,0,0,0
136,15.4,14.19,2.48,4.18,14.19,41.05088707408065,1.1961722488038278,55.240887074080646,1.6585791524823348,0,0,0
137,0.63,0.575,1.18,1.85,0.575,3.1533272152812293,2.7027027027027026,3.728327215281229,3.311111317053008,0,0,0
138,4.93,4.496666666666667,0.99,2.6033333333333335,4.496666666666667,-1.392505514424116,1.9206145966709345,3.104161152242551,,0,0,0
139,17.14,16.56,1.92,4.2125,16.56,-9.805858391074073,1.1869436201780414,6.754141608925925,,0,0,0
140,0.83,0.4525,0.42,1.7400000000000002,0.4525,2.1467476260678646,2.8735632183908044,2.5992476260678647,5.439503579451658,0,0,0
141,4.22,4.026666666666666,1.23,2.5733333333333337,4.026666666666666,-1.6208747259081004,1.94300518134715,2.405791940758566,,0,0,0
142,15.01,14.9025,1.79,4.84,14.9025,-13.581307926280338,1.0330578512396695,1.3211920737196616,,0,0,0
143,0.58,0.4766666666666666,0.33,1.5733333333333333,0.4766666666666666,-0.1725847671973828,3.1779661016949152,0.3040818994692838,,0,0,0
144,4.53,3.8975,0.43,2.1725,3.8975,-2.1252516185724812,2.3014959723820483,1.7722483814275187,,0,0,0
145,14.77,14.159999999999998,3.33,4.496666666666667,14.159999999999998,51.35594566251591,1.111934766493699,65.5159456625159,1.3824471921171495,0,0,0
146,0.68,0.5633333333333334,0.13,1.5599999999999998,0.5633333333333334,-0.38060433986571607,3.2051282051282053,0.18272899346761728,,0,0,0
147,4.39,3.69,1.84,3.1775,3.69,38.8303487250337,1.5735641227380015,42.5203487250337,1.8374063605116175,0,0,0
148,15.49,14.875,2.23,4.3774999999999995,14.875,-5.74139402167973,1.142204454597373,9.13360597832027,,0,0,0
149,0.96,0.5433333333333333,0.18,1.5599999999999998,0.5433333333333333,0.7986075067644957,3.2051282051282053,1.341940840097829,20.78236296524025,0,0,0
150,5.29,4.25,0.4,2.175,4.25,-1.5697138642413009,2.298850574712644,2.680286135758699,,0,0,0
151,15.85,14.965,0.99,3.6125,14.965,-11.084460125498872,1.384083044982699,3.8805398745011273,,0,0,0
152,0.64,0.54,1.16,1.9,0.54,7.392074443804046,2.6315789473684212,7.932074443804046,2.983251760811791,0,0,0
153,4.2,3.9333333333333336,1.3,2.566666666666667,3.9333333333333336,-0.24393877322583046,1.9480519480519478,3.689394560107503,,0,0,0
154,14.28,13.490170336848536,5.1,31.453947067343865,13.490170336848536,-11.508975669262755,0.15896256165545286,1.9811946675857803,,0,1,1
155,0.58,0.4766666666666666,0.56,1.5599999999999998,0.4766666666666666,0.7673404729468292,3.2051282051282053,1.2440071396134957,7.038254332225103,0,0,0
156,4.06,3.745,0.67,2.1775,3.745,-2.160389344667554,2.296211251435132,1.5846106553324462,,0,0,0
157,14.36,13.5925,1.32,3.9,13.5925,-8.9259459122754,1.2820512820512822,4.666554087724599,,0,0,0
158,1.0,0.5720000000000001,0.17,1.6233333333333333,0.5720000000000001,0.758925434456794,3.080082135523614,1.330925434456794,24.249223972818186,0,0,0
159,5.06,4.11975,0.32,2.1825,4.11975,-2.104808848322039,2.290950744558992,2.0149411516779607,,0,0,0
160,14.3,13.0025,1.07,3.895,13.0025,-7.5321887712403885,1.2836970474967908,5.470311228759611,,0,0,0
