u_r_mm,tau_r_MPa,delta_peak_mm,tau_peak_MPa_csds,e_csds,e_pred,d_from_e_pred
4.2125,16.56,1.92,17.14,2.22655990128023,2.719705200317977,23.46111493963732
1.7400000000000002,0.4525,0.42,0.83,4.84879553279124,7.3370581132235015,2.0251945867599175
2.5733333333333337,4.026666666666666,1.23,4.22,3.22230726876678,4.6491363007094355,6.364528997322889
4.84,14.9025,1.79,15.01,3.4546415460563873,2.8817483806586957,16.17683050692525
1.5733333333333333,0.4766666666666666,0.33,0.58,9.368454028225154,7.732440587430962,0.9923464781393321
2.1725,3.8975,0.43,4.53,7.955893974394428,6.8893263048844995,6.503558336343678
4.496666666666667,14.159999999999998,3.33,14.77,1.2931877819034847,1.4119146495983348,61.578133779035156
1.5599999999999998,0.5633333333333334,0.13,0.68,31.88575510060682,8.497791453153582,1.488219995190205
3.1775,3.69,1.84,4.39,1.779339325853626,3.386216385581149,16.956720791819606
4.3774999999999995,14.875,2.23,15.49,1.8301286904573817,2.3730335320480402,24.289646070504734
1.5599999999999998,0.5433333333333333,0.18,0.96,14.731251978605432,8.273615802328262,2.1477350885898328
2.175,4.25,0.4,5.29,7.755705088302538,6.930446996352594,8.134070392302075
3.6125,14.965,0.99,15.85,4.185634509215309,4.39816280263389,19.431742223069907
1.9,0.54,1.16,0.64,2.9158636476035604,5.140122073301305,2.8101998945149895
2.566666666666667,3.9333333333333336,1.3,4.2,2.832743127876559,4.499512471323739,7.5634966540878
31.453947067343865,13.490170336848536,5.1,14.28,0.9263059984631752,0.19448480215632677,92.13519650897942
1.5599999999999998,0.4766666666666666,0.56,0.58,5.0236277196711585,6.936997128587546,1.2536882073512905
2.1775,3.745,0.67,4.06,5.4890381882934465,6.177717339386439,5.629992191847435
3.9,13.5925,1.32,14.36,3.032176279008363,3.7750220060053206,18.448337248283153
1.6233333333333333,0.5720000000000001,0.17,1.0,16.31818533574024,8.287008648804482,2.2039571795624204
2.1825,4.11975,0.32,5.06,10.626543938716322,7.214083856831804,7.662459044565446
3.895,13.0025,1.07,14.3,3.3651116062820727,4.254072908045277,18.91472419987154
1.5666666666666669,0.5843333333333334,0.1,0.85,37.33548887229885,8.601417892166422,2.2733622314439317
2.175,4.409,0.24,6.09,13.515323404054092,7.41296013042334,10.365236999409388
3.8625,15.2325,0.5,16.89,8.601598077321363,5.429427507903331,21.063441407289858
1.5566666666666666,0.5843333333333334,0.07,0.85,59.36701870371923,8.728437159600334,2.8625913013172086
2.1675,4.43275,0.23,5.85,14.978792929839672,7.469854918851878,9.844243152080919
3.8625,15.795,0.75,16.87,5.80409010742513,4.823195075354577,20.055123972439723
1.5599999999999998,0.5579999999999999,0.17,0.8,18.51576110820791,8.327284301105243,1.6775936412624592
2.563333333333333,4.293333333333333,1.11,4.61,3.258019017990617,4.902991681796213,7.329965122768734
4.553333333333334,16.513333333333332,3.93,16.61,1.4757256498343354,1.0388037610198058,-90.50440348094986
1.5533333333333337,0.5436666666666666,0.19,0.76,16.275028887164293,8.254533719645938,1.5302686592500612
2.17,4.0465,0.32,4.74,11.4900793995,7.242815333289463,6.921217165738112
4.13,14.8875,1.88,15.76,2.0220034481788933,2.823169612355056,24.569105451946815
1.5666666666666669,0.5826666666666666,0.23,0.81,12.675105003139644,8.090406668076337,1.5627878617413302
2.18,4.452999999999999,0.27,5.18,14.53141002624948,7.3785206270588,7.772778855942742
4.1125,16.4125,1.85,17.29,2.100213453400296,2.81899166048281,26.07489612887501
1.5766666666666669,0.478,0.65,0.57,4.48569879514461,6.643018703812256,1.3412003528455791
2.6333333333333333,3.616,1.47,3.8,2.66832825839853,4.156931563463013,6.863364112275847
4.1575,12.965,2.12,13.69,1.8070468059221405,2.5730458942421093,23.5346983210147
1.5666666666666669,0.6386666666666666,0.48,0.88,5.11752583659357,7.180102624841865,2.058813548851861
2.9225,4.727,0.52,5.54,6.676100463922199,6.32476133810958,7.375691480440645
3.925,14.94,0.9,17.84,3.4621547532157915,4.433426656998662,25.554418483358706
1.49,0.4575,0.22,0.66,12.75282127395527,8.16863362040271,1.3491474191343447
3.1,4.0145,1.93,4.22,2.064879723343122,3.2613511593595583,9.009524455069098
4.75,14.85,3.98,15.12,1.247654255784918,1.0222464012313344,-254.11863386132174
