u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,tau_p_div_u_r,d_pred,Best_Model_Name
31.453947067343865,5.1,14.28,13.490170336848536,15.578009547900097,0.45399707608797335,22.06315849879836,Model_148
1.5599999999999998,0.56,0.58,0.4766666666666666,1.7197507584709593,0.3717948717948718,3.2151918029742603,Model_148
2.1775,0.67,4.06,3.745,5.907719354979028,1.864523536165327,17.287240730409067,Model_148
3.9,1.32,14.36,13.5925,19.718523681195663,3.682051282051282,53.381065328613346,Model_148
1.6233333333333333,0.17,1.0,0.5720000000000001,1.4469487231528226,0.6160164271047228,0.6346581709604546,Model_148
2.1825,0.32,5.06,4.11975,6.530332651104151,2.3184421534936996,3.3190336431325136,Model_148
3.895,1.07,14.3,13.0025,20.31787030166651,3.671373555840822,34.8013926506614,Model_148
1.5666666666666669,0.1,0.85,0.5843333333333334,0.9821892769408712,0.5425531914893617,0.6370979577174092,Model_148
2.175,0.24,6.09,4.409,7.86013841211722,2.8000000000000003,0.31405521453370255,Model_148
3.8625,0.5,16.89,15.2325,18.887967066441504,4.3728155339805825,-13.816620741940781,Model_148
1.5566666666666666,0.07,0.85,0.5843333333333334,0.935338137929958,0.5460385438972163,0.38944922369677926,Model_148
2.1675,0.23,5.85,4.43275,7.23422060168731,2.698961937716263,-0.6626334279493946,Model_148
3.8625,0.75,16.87,15.795,19.288556358159465,4.3676375404530745,8.66760200476942,Model_148
1.5599999999999998,0.17,0.8,0.5579999999999999,1.0533159279041486,0.5128205128205129,1.333890058625201,Model_148
2.563333333333333,1.11,4.61,4.293333333333333,9.21138452802538,1.7984395318595583,32.00581229804308,Model_148
4.553333333333334,3.93,16.61,16.513333333333332,30.711748245470854,3.647877013177159,214.118802245418,Model_148
1.5533333333333337,0.19,0.76,0.5436666666666666,1.0285202035428438,0.4892703862660943,1.6144482153924375,Model_148
2.17,0.32,4.74,4.0465,5.80309001190173,2.184331797235023,2.88168125314899,Model_148
4.13,1.88,15.76,14.8875,29.885331291761865,3.8159806295399514,90.4896215968621,Model_148
1.5666666666666669,0.23,0.81,0.5826666666666666,1.190751192870266,0.5170212765957446,1.676924660433376,Model_148
2.18,0.27,5.18,4.452999999999999,6.024725557485408,2.3761467889908254,0.6743284078524567,Model_148
4.1125,1.85,17.29,16.4125,30.71216321375646,4.2042553191489365,95.03508689790768,Model_148
1.5766666666666669,0.65,0.57,0.478,2.090273609680621,0.361522198731501,3.3563515669835002,Model_148
2.6333333333333333,1.47,3.8,3.616,9.76564024424423,1.4430379746835442,35.52893646093281,Model_148
4.1575,2.12,13.69,12.965,30.79818353264837,3.292844257366206,95.57099912162866,Model_148
1.5666666666666669,0.48,0.88,0.6386666666666666,2.909683904106867,0.5617021276595744,3.3661342080139196,Model_148
2.9225,0.52,5.54,4.727,7.254730037291942,1.8956372968349018,7.038290621458,Model_148
3.925,0.9,17.84,14.94,27.969435602700997,4.545222929936306,19.714092472679553,Model_148
1.49,0.22,0.66,0.4575,1.0088217275318825,0.4429530201342282,2.030233544926494,Model_148
3.1,1.93,4.22,4.0145,14.837057992923611,1.361290322580645,43.09929886079693,Model_148
4.75,3.98,15.12,14.85,60.51147902358684,3.183157894736842,183.54473964382254,Model_148
1.5666666666666669,0.13,1.09,0.5446666666666667,1.5022992365882244,0.6957446808510638,-0.36972314578775745,Model_148
2.1775,0.28,5.16,3.81425,6.944681077528114,2.369690011481056,1.2582181018413081,Model_148
3.88,0.7,16.09,11.71,26.70369715320237,4.146907216494846,5.133935594279393,Model_148
2.06,1.1,0.64,0.593,2.1062804370896413,0.3106796116504854,3.4321009794462736,Model_148
3.85,3.11,4.79,4.4285,110.04621145632456,1.2441558441558442,60.93803781514514,Model_148
4.833333333333333,2.95,17.57,15.660000000000002,149.2033516563727,3.6351724137931036,135.81318897048163,Model_148
1.64,0.1,1.15,0.5823333333333333,1.4292184556456984,0.7012195121951219,-0.7218446332761488,Model_148
2.06,0.26,5.06,2.78625,8.323852820988881,2.4563106796116503,1.4981037503699461,Model_148
3.91,0.48,15.79,12.4225,19.82682598861948,4.038363171355498,-12.847184129763349,Model_148
1.5599999999999998,0.47,0.9,0.6583333333333333,2.8170854823861977,0.576923076923077,3.3192075131282355,Model_148
2.1875,0.49,5.79,4.2505,11.587462282580969,2.646857142857143,16.119753629319632,Model_148
3.86,1.09,17.51,14.9375,31.490887035413166,4.536269430051814,39.69108981143442,Model_148
