u_r_mm,tau_r_MPa,delta_peak_mm,tau_peak_MPa_csds,e_csds,e_pred,d_from_e_pred
2.1925,4.255,0.42,4.74,9.079561652406012,11.638646773450326,5.62943903914734
1.85,0.575,1.18,0.63,3.1309195303367727,14.36602408765956,1.9097828290956405
2.6033333333333335,4.496666666666667,0.99,4.93,3.460965956174455,8.78059520061985,7.406291409423813
1.7400000000000002,0.4525,0.42,0.83,4.84879553279124,15.312101504943207,1.7237999819993992
2.5733333333333337,4.026666666666666,1.23,4.22,3.22230726876678,8.974720683806503,6.137466093093384
1.5733333333333333,0.4766666666666666,0.33,0.58,9.368454028225154,16.812984336380886,0.7802538376589561
2.1725,3.8975,0.43,4.53,7.955893974394428,11.789059720398463,5.695427401071959
1.5599999999999998,0.5633333333333334,0.13,0.68,31.88575510060682,16.93662546352531,0.889555257820547
3.1775,3.69,1.84,4.39,1.779339325853626,5.480149755774413,16.36534754970481
1.5599999999999998,0.5433333333333333,0.18,0.96,14.731251978605432,16.93662546352531,1.403769299510605
1.9,0.54,1.16,0.64,2.9158636476035604,13.947461252133913,2.6571037223390195
2.566666666666667,3.9333333333333336,1.3,4.2,2.832743127876559,9.018164044666229,7.289948608006889
1.5599999999999998,0.4766666666666666,0.56,0.58,5.0236277196711585,16.93662546352531,1.0991022016545935
2.1775,3.745,0.67,4.06,5.4890381882934465,11.75135565384327,5.221345841800087
1.6233333333333333,0.5720000000000001,0.17,1.0,16.31818533574024,16.354073586844812,1.4459131146836481
1.5666666666666669,0.5843333333333334,0.1,0.85,37.33548887229885,16.87473810323568,1.2742066545094861
1.5566666666666666,0.5843333333333334,0.07,0.85,59.36701870371923,16.967619290151625,1.4832742758721313
1.5599999999999998,0.5579999999999999,0.17,0.8,18.51576110820791,16.93662546352531,1.0799164621488504
2.563333333333333,4.293333333333333,1.11,4.61,3.258019017990617,9.039927337848006,7.056067891376724
1.5533333333333337,0.5436666666666666,0.19,0.76,16.275028887164293,16.998646573878666,1.016593695782524
2.17,4.0465,0.32,4.74,11.4900793995,11.807936996574988,5.771915798060277
1.5666666666666669,0.5826666666666666,0.23,0.81,12.675105003139644,16.87473810323568,1.1037454972512746
1.5766666666666669,0.478,0.65,0.57,4.48569879514461,16.78215750156648,1.2009486995008793
2.6333333333333333,3.616,1.47,3.8,2.66832825839853,8.588701197606973,6.615476906513538
1.5666666666666669,0.6386666666666666,0.48,0.88,5.11752583659357,16.87473810323568,1.7577920066445847
1.49,0.4575,0.22,0.66,12.75282127395527,17.594547899246244,0.9213646051083861
3.1,4.0145,1.93,4.22,2.064879723343122,5.8812109016010155,8.6377050424879
1.5666666666666669,0.5446666666666667,0.13,1.09,21.905585532286455,16.87473810323568,1.648792637341181
2.06,0.593,1.1,0.64,3.268679989536249,12.65531994687533,1.2716291889081093
3.85,4.4285,3.11,4.79,1.3813754414682702,2.5334955924771307,25.497815587033802
