sample_id,log_e_minus_c_csds,tau_r_div_tau_p,u_p_div_u_r,u_r_mm,u_r_x_u_p,tau_p_div_u_p,tau_r_MPa,tau_r_div_u_p,tau_p_div_u_r,tau_p_x_tau_r,tau_r_div_u_r
126,2.215549946168177,0.8679226069246435,0.15034168564920275,2.195,0.7243499999999999,14.878787878787879,4.2615,12.913636363636362,2.2369020501138954,20.923965,1.9414578587699318
127,-1.9162115224657499,0.9105145413870245,0.6624815361890696,4.513333333333333,13.494866666666665,5.481605351170568,14.923333333333332,4.99108138238573,3.631462333825702,244.5934333333333,3.306499261447563
128,1.9610767620619154,0.4920289855072464,0.1404255319148936,1.5666666666666669,0.34466666666666673,6.2727272727272725,0.6789999999999999,3.086363636363636,0.8808510638297871,0.9370199999999999,0.43340425531914883
129,1.6191452022963209,0.7517184942716857,0.17889908256880732,2.18,0.8502000000000001,15.666666666666666,4.593,11.776923076923076,2.8027522935779814,28.06323,2.106880733944954
130,-1.9384644606571644,0.9061408614668219,0.6731234866828086,4.13,11.481399999999999,6.179856115107914,15.5675,5.599820143884893,4.159806295399516,267.44965,3.7693704600484264
131,1.5650440658411895,0.6381642512077295,0.19108280254777069,1.57,0.471,2.3,0.4403333333333333,1.4677777777777776,0.43949044585987257,0.30382999999999993,0.28046709129511677
132,1.6914200220012527,0.757646420824295,0.17253121452894438,2.2025,0.8369500000000001,12.131578947368421,3.49275,9.191447368421052,2.0930760499432464,16.1015775,1.5858115777525539
133,1.7321123535721132,0.8919298245614036,0.14910025706940871,3.89,2.2561999999999998,24.56896551724138,12.71,21.913793103448278,3.663239074550128,181.1175,3.2673521850899743
134,2.1449216481665894,0.8452674897119342,0.1820083682008368,1.5933333333333335,0.4620666666666667,2.7931034482758625,0.6846666666666668,2.3609195402298857,0.5083682008368201,0.5545800000000001,0.4297071129707113
135,1.916784358806346,0.8976793248945147,0.19156214367160776,2.1925,0.92085,11.285714285714286,4.255,10.130952380952381,2.1619156214367163,20.1687,1.9407069555302168
